  x d=-0.01  y d=-0.01  x d=-0.03  y d=-0.03  x d=-0.06  y d=-0.06  x d=-0.09  y d=-0.09  x d=-0.12  y d=-0.12  x d=-0.15  y d=-0.15  x d=-0.18  y d=-0.18
   4.49399   -0.73925    4.51340   -0.73440    4.54250   -0.72712    4.57160   -0.71985    4.60071   -0.71257    4.62981   -0.70529    4.65891   -0.69801
   4.49555   -0.74547    4.51501   -0.74086    4.54420   -0.73395    4.57339   -0.72704    4.60259   -0.72013    4.63178   -0.71322    4.66097   -0.70631
   4.49702   -0.75171    4.51654   -0.74735    4.54582   -0.74080    4.57510   -0.73426    4.60437   -0.72771    4.63365   -0.72117    4.66293   -0.71462
   4.49842   -0.75796    4.51799   -0.75385    4.54735   -0.74767    4.57671   -0.74149    4.60606   -0.73532    4.63542   -0.72914    4.66478   -0.72297
   4.49974   -0.76423    4.51936   -0.76036    4.54879   -0.75456    4.57823   -0.74875    4.60766   -0.74294    4.63709   -0.73714    4.66652   -0.73133
   4.50098   -0.77052    4.52065   -0.76690    4.55015   -0.76146    4.57965   -0.75603    4.60916   -0.75059    4.63866   -0.74515    4.66816   -0.73972
   4.50214   -0.77683    4.52185   -0.77345    4.55142   -0.76838    4.58099   -0.76332    4.61056   -0.75825    4.64013   -0.75319    4.66970   -0.74812
   4.50322   -0.78314    4.52297   -0.78001    4.55260   -0.77532    4.58223   -0.77063    4.61187   -0.76593    4.64150   -0.76124    4.67113   -0.75655
   4.50422   -0.78947    4.52401   -0.78659    4.55370   -0.78227    4.58339   -0.77795    4.61308   -0.77363    4.64276   -0.76931    4.67245   -0.76499
   4.50514   -0.79581    4.52497   -0.79318    4.55471   -0.78924    4.58445   -0.78529    4.61419   -0.78134    4.64393   -0.77740    4.67367   -0.77345
   4.50599   -0.80217    4.52584   -0.79979    4.55563   -0.79621    4.58542   -0.79264    4.61520   -0.78907    4.64499   -0.78549    4.67478   -0.78192
   4.50675   -0.80853    4.52663   -0.80640    4.55646   -0.80320    4.58629   -0.80000    4.61612   -0.79680    4.64595   -0.79361    4.67578   -0.79041
   4.50743   -0.81490    4.52734   -0.81302    4.55721   -0.81020    4.58708   -0.80737    4.61694   -0.80455    4.64681   -0.80173    4.67668   -0.79891
   4.50803   -0.82128    4.52797   -0.81965    4.55787   -0.81720    4.58777   -0.81476    4.61767   -0.81231    4.64757   -0.80986    4.67747   -0.80741
   4.50856   -0.82767    4.52851   -0.82629    4.55844   -0.82422    4.58836   -0.82215    4.61829   -0.82007    4.64822   -0.81800    4.67815   -0.81593
   4.50900   -0.83406    4.52897   -0.83293    4.55892   -0.83124    4.58887   -0.82954    4.61882   -0.82785    4.64877   -0.82615    4.67873   -0.82446
   4.50936   -0.84046    4.52934   -0.83958    4.55931   -0.83827    4.58928   -0.83695    4.61925   -0.83563    4.64922   -0.83431    4.67919   -0.83299
   4.50964   -0.84687    4.52963   -0.84624    4.55962   -0.84530    4.58960   -0.84435    4.61959   -0.84341    4.64957   -0.84247    4.67956   -0.84153
   4.50984   -0.85327    4.52984   -0.85289    4.55983   -0.85233    4.58983   -0.85176    4.61982   -0.85120    4.64982   -0.85063    4.67981   -0.85007
   4.50996   -0.85968    4.52996   -0.85955    4.55996   -0.85937    4.58996   -0.85918    4.61996   -0.85899    4.64996   -0.85880    4.67996   -0.85861
   4.51004   -0.87212    4.53003   -0.87174    4.56003   -0.87118    4.59002   -0.87061    4.62002   -0.87005    4.65001   -0.86948    4.68001   -0.86892
   4.51015   -0.87828    4.53014   -0.87765    4.56013   -0.87671    4.59011   -0.87576    4.62010   -0.87482    4.65008   -0.87388    4.68007   -0.87294
   4.51035   -0.88443    4.53033   -0.88355    4.56030   -0.88223    4.59027   -0.88091    4.62024   -0.87959    4.65021   -0.87828    4.68018   -0.87696
   4.51062   -0.89058    4.53058   -0.88945    4.56054   -0.88776    4.59049   -0.88606    4.62044   -0.88437    4.65039   -0.88267    4.68034   -0.88097
   4.51096   -0.89673    4.53092   -0.89535    4.56084   -0.89328    4.59077   -0.89121    4.62070   -0.88913    4.65063   -0.88706    4.68056   -0.88499
   4.51139   -0.90287    4.53132   -0.90124    4.56122   -0.89879    4.59112   -0.89635    4.62102   -0.89390    4.65092   -0.89145    4.68082   -0.88900
   4.51189   -0.90901    4.53180   -0.90713    4.56167   -0.90430    4.59153   -0.90148    4.62140   -0.89866    4.65127   -0.89583    4.68113   -0.89301
   4.51247   -0.91514    4.53235   -0.91301    4.56218   -0.90981    4.59201   -0.90661    4.62184   -0.90341    4.65167   -0.90021    4.68150   -0.89702
   4.51312   -0.92126    4.53298   -0.91888    4.56277   -0.91531    4.59255   -0.91173    4.62234   -0.90816    4.65213   -0.90459    4.68191   -0.90102
   4.51386   -0.92738    4.53368   -0.92475    4.56342   -0.92080    4.59316   -0.91685    4.62290   -0.91290    4.65264   -0.90896    4.68238   -0.90501
   4.51467   -0.93348    4.53446   -0.93060    4.56414   -0.92628    4.59383   -0.92196    4.62352   -0.91764    4.65321   -0.91332    4.68289   -0.90900
   4.51555   -0.93957    4.53530   -0.93645    4.56494   -0.93175    4.59457   -0.92706    4.62420   -0.92237    4.65383   -0.91767    4.68346   -0.91298
   4.51651   -0.94566    4.53623   -0.94228    4.56580   -0.93721    4.59537   -0.93215    4.62493   -0.92708    4.65450   -0.92202    4.68407   -0.91695
   4.51755   -0.95172    4.53722   -0.94810    4.56672   -0.94266    4.59623   -0.93723    4.62573   -0.93179    4.65523   -0.92636    4.68474   -0.92092
   4.51867   -0.95778    4.53829   -0.95391    4.56772   -0.94810    4.59715   -0.94230    4.62659   -0.93649    4.65602   -0.93068    4.68545   -0.92488
   4.51986   -0.96382    4.53943   -0.95970    4.56879   -0.95353    4.59814   -0.94735    4.62750   -0.94118    4.65686   -0.93500    4.68622   -0.92883
   4.52113   -0.96985    4.54064   -0.96548    4.56992   -0.95894    4.59920   -0.95240    4.62848   -0.94585    4.65775   -0.93931    4.68703   -0.93276
   4.52247   -0.97586    4.54193   -0.97125    4.57112   -0.96434    4.60032   -0.95743    4.62951   -0.95051    4.65870   -0.94360    4.68789   -0.93669
   4.52389   -0.98185    4.54329   -0.97700    4.57239   -0.96972    4.60150   -0.96244    4.63060   -0.95516    4.65970   -0.94789    4.68881   -0.94061
   4.52538   -0.98782    4.54472   -0.98273    4.57373   -0.97508    4.60274   -0.96744    4.63175   -0.95980    4.66076   -0.95215    4.68977   -0.94451
   4.52695   -0.99378    4.54622   -0.98844    4.57513   -0.98043    4.60404   -0.97242    4.63296   -0.96442    4.66187   -0.95641    4.69078   -0.94840
   4.52859   -0.99971    4.54779   -0.99413    4.57660   -0.98576    4.60541   -0.97739    4.63422   -0.96902    4.66303   -0.96065    4.69184   -0.95228
   4.53031   -1.00562    4.54944   -0.99980    4.57814   -0.99107    4.60684   -0.98234    4.63554   -0.97361    4.66425   -0.96488    4.69295   -0.95615
   4.53210   -1.01152    4.55116   -1.00546    4.57975   -0.99636    4.60834   -0.98727    4.63693   -0.97818    4.66551   -0.96909    4.69410   -0.96000
   4.53396   -1.01738    4.55294   -1.01108    4.58142   -1.00163    4.60989   -0.99219    4.63836   -0.98274    4.66684   -0.97329    4.69531   -0.96384
   4.53590   -1.02323    4.55480   -1.01669    4.58315   -1.00688    4.61151   -0.99708    4.63986   -0.98727    4.66821   -0.97746    4.69656   -0.96766
   4.53791   -1.02905    4.55673   -1.02227    4.58496   -1.01211    4.61318   -1.00195    4.64141   -0.99179    4.66964   -0.98162    4.69786   -0.97146
   4.54000   -1.03484    4.55873   -1.02783    4.58683   -1.01731    4.61492   -1.00680    4.64302   -0.99628    4.67112   -0.98577    4.69921   -0.97525
   4.54216   -1.04061    4.56080   -1.03336    4.58876   -1.02249    4.61672   -1.01163    4.64468   -1.00076    4.67265   -0.98989    4.70061   -0.97902
   4.54439   -1.04635    4.56294   -1.03887    4.59076   -1.02765    4.61858   -1.01643    4.64641   -1.00521    4.67423   -0.99399    4.70205   -0.98278
   4.54669   -1.05206    4.56514   -1.04435    4.59282   -1.03278    4.62050   -1.02121    4.64818   -1.00964    4.67586   -0.99808    4.70354   -0.98651
   4.54906   -1.05774    4.56742   -1.04980    4.59495   -1.03788    4.62248   -1.02597    4.65001   -1.01405    4.67755   -1.00214    4.70508   -0.99023
   4.55151   -1.06339    4.56976   -1.05522    4.59714   -1.04296    4.62452   -1.03070    4.65190   -1.01844    4.67928   -1.00618    4.70666   -0.99392
   4.55402   -1.06901    4.57217   -1.06061    4.59940   -1.04801    4.62662   -1.03541    4.65385   -1.02280    4.68107   -1.01020    4.70829   -0.99760
   4.55661   -1.07460    4.57465   -1.06597    4.60171   -1.05303    4.62878   -1.04008    4.65584   -1.02714    4.68291   -1.01420    4.70997   -1.00125
   4.55926   -1.08016    4.57720   -1.07130    4.60410   -1.05802    4.63100   -1.04474    4.65789   -1.03145    4.68479   -1.01817    4.71169   -1.00489
   4.56199   -1.08568    4.57981   -1.07660    4.60654   -1.06298    4.63327   -1.04936    4.66000   -1.03574    4.68673   -1.02212    4.71346   -1.00850
   4.56478   -1.09116    4.58249   -1.08186    4.60905   -1.06791    4.63560   -1.05395    4.66216   -1.04000    4.68872   -1.02604    4.71527   -1.01209
   4.56765   -1.09661    4.58523   -1.08709    4.61161   -1.07280    4.63799   -1.05852    4.66437   -1.04423    4.69075   -1.02994    4.71713   -1.01565
   4.57058   -1.10203    4.58804   -1.09228    4.61424   -1.07767    4.64044   -1.06305    4.66664   -1.04843    4.69284   -1.03381    4.71903   -1.01920
   4.57358   -1.10741    4.59092   -1.09744    4.61693   -1.08250    4.64294   -1.06755    4.66896   -1.05261    4.69497   -1.03766    4.72098   -1.02272
   4.57665   -1.11275    4.59386   -1.10257    4.61968   -1.08729    4.64551   -1.07202    4.67133   -1.05675    4.69715   -1.04148    4.72297   -1.02621
   4.57978   -1.11805    4.59686   -1.10765    4.62249   -1.09206    4.64812   -1.07646    4.67375   -1.06087    4.69938   -1.04527    4.72501   -1.02968
   4.58298   -1.12331    4.59993   -1.11270    4.62536   -1.09678    4.65079   -1.08087    4.67622   -1.06495    4.70165   -1.04904    4.72708   -1.03312
   4.58625   -1.12853    4.60306   -1.11771    4.62829   -1.10147    4.65352   -1.08524    4.67875   -1.06900    4.70398   -1.05277    4.72921   -1.03654
   4.58958   -1.13371    4.60626   -1.12267    4.63128   -1.10612    4.65630   -1.08957    4.68133   -1.07303    4.70635   -1.05648    4.73137   -1.03993
   4.59297   -1.13884    4.60951   -1.12760    4.63433   -1.11074    4.65914   -1.09388    4.68395   -1.07701    4.70876   -1.06015    4.73358   -1.04329
   4.59643   -1.14394    4.61283   -1.13249    4.63743   -1.11531    4.66203   -1.09814    4.68663   -1.08097    4.71123   -1.06380    4.73583   -1.04662
   4.59996   -1.14898    4.61621   -1.13733    4.64059   -1.11985    4.66497   -1.10237    4.68935   -1.08489    4.71373   -1.06741    4.73812   -1.04993
   4.60354   -1.15399    4.61965   -1.14213    4.64381   -1.12435    4.66797   -1.10656    4.69213   -1.08878    4.71629   -1.07099    4.74045   -1.05320
   4.60719   -1.15895    4.62315   -1.14689    4.64708   -1.12880    4.67102   -1.11071    4.69495   -1.09263    4.71889   -1.07454    4.74282   -1.05645
   4.61091   -1.16386    4.62671   -1.15160    4.65041   -1.13322    4.67412   -1.11483    4.69782   -1.09644    4.72153   -1.07805    4.74523   -1.05967
   4.61468   -1.16873    4.63033   -1.15627    4.65380   -1.13759    4.67727   -1.11890    4.70074   -1.10022    4.72421   -1.08154    4.74769   -1.06285
   4.61851   -1.17355    4.63400   -1.16089    4.65724   -1.14192    4.68047   -1.12294    4.70371   -1.10396    4.72694   -1.08499    4.75018   -1.06601
   4.62241   -1.17831    4.63774   -1.16547    4.66073   -1.14620    4.68373   -1.12693    4.70672   -1.10767    4.72972   -1.08840    4.75271   -1.06913
   4.62636   -1.18304    4.64153   -1.17000    4.66428   -1.15044    4.68703   -1.13089    4.70978   -1.11133    4.73253   -1.09178    4.75528   -1.07222
   4.63038   -1.18771    4.64538   -1.17448    4.66788   -1.15464    4.69038   -1.13480    4.71289   -1.11496    4.73539   -1.09512    4.75789   -1.07528
   4.63445   -1.19232    4.64928   -1.17891    4.67153   -1.15879    4.69379   -1.13867    4.71604   -1.11855    4.73829   -1.09843    4.76054   -1.07831
   4.63858   -1.19689    4.65324   -1.18329    4.67524   -1.16289    4.69724   -1.14250    4.71923   -1.12210    4.74123   -1.10170    4.76323   -1.08130
   4.64276   -1.20141    4.65726   -1.18763    4.67899   -1.16695    4.70073   -1.14628    4.72247   -1.12561    4.74421   -1.10493    4.76595   -1.08426
   4.64700   -1.20587    4.66132   -1.19191    4.68280   -1.17096    4.70428   -1.15002    4.72576   -1.12907    4.74724   -1.10813    4.76871   -1.08718
   4.65130   -1.21028    4.66545   -1.19614    4.68666   -1.17492    4.70787   -1.15371    4.72908   -1.13250    4.75030   -1.11128    4.77151   -1.09007
   4.65566   -1.21463    4.66962   -1.20032    4.69056   -1.17884    4.71151   -1.15736    4.73245   -1.13588    4.75340   -1.11440    4.77434   -1.09292
   4.66006   -1.21893    4.67385   -1.20444    4.69452   -1.18270    4.71519   -1.16096    4.73587   -1.13922    4.75654   -1.11748    4.77721   -1.09574
   4.66453   -1.22318    4.67813   -1.20851    4.69852   -1.18651    4.71892   -1.16452    4.73932   -1.14252    4.75972   -1.12052    4.78012   -1.09852
   4.66904   -1.22736    4.68245   -1.21253    4.70257   -1.19028    4.72270   -1.16803    4.74282   -1.14577    4.76294   -1.12352    4.78306   -1.10127
   4.67361   -1.23149    4.68683   -1.21649    4.70667   -1.19399    4.72651   -1.17149    4.74635   -1.14898    4.76619   -1.12648    4.78603   -1.10398
   4.67823   -1.23557    4.69126   -1.22040    4.71082   -1.19765    4.73037   -1.17490    4.74993   -1.15215    4.76948   -1.12940    4.78904   -1.10665
   4.68289   -1.23958    4.69574   -1.22425    4.71501   -1.20126    4.73427   -1.17826    4.75354   -1.15527    4.77281   -1.13227    4.79208   -1.10928
   4.68761   -1.24354    4.70027   -1.22805    4.71924   -1.20481    4.73822   -1.18158    4.75720   -1.15834    4.77617   -1.13511    4.79515   -1.11187
   4.69238   -1.24743    4.70484   -1.23178    4.72352   -1.20831    4.74221   -1.18484    4.76089   -1.16137    4.77957   -1.13790    4.79826   -1.11443
   4.69720   -1.25127    4.70946   -1.23546    4.72784   -1.21176    4.74623   -1.18806    4.76462   -1.16435    4.78301   -1.14065    4.80139   -1.11694
   4.70206   -1.25504    4.71412   -1.23909    4.73221   -1.21515    4.75030   -1.19122    4.76839   -1.16729    4.78647   -1.14335    4.80456   -1.11942
   4.70698   -1.25876    4.71883   -1.24265    4.73662   -1.21849    4.75440   -1.19433    4.77219   -1.17017    4.78998   -1.14601    4.80776   -1.12185
   4.71193   -1.26241    4.72359   -1.24615    4.74107   -1.22177    4.75855   -1.19739    4.77603   -1.17301    4.79351   -1.14863    4.81099   -1.12425
   4.71694   -1.26600    4.72839   -1.24960    4.74556   -1.22500    4.76273   -1.20040    4.77991   -1.17580    4.79708   -1.15120    4.81425   -1.12660
   4.72199   -1.26952    4.73323   -1.25298    4.75009   -1.22817    4.76695   -1.20335    4.78382   -1.17854    4.80068   -1.15373    4.81754   -1.12892
   4.72708   -1.27298    4.73811   -1.25630    4.75466   -1.23128    4.77121   -1.20626    4.78776   -1.18123    4.80431   -1.15621    4.82086   -1.13119
   4.73221   -1.27638    4.74304   -1.25956    4.75927   -1.23433    4.77550   -1.20910    4.79174   -1.18388    4.80797   -1.15865    4.82420   -1.13342
   4.73739   -1.27971    4.74800   -1.26276    4.76392   -1.23733    4.77983   -1.21190    4.79575   -1.18647    4.81166   -1.16104    4.82758   -1.13561
   4.74261   -1.28298    4.75301   -1.26589    4.76860   -1.24027    4.78420   -1.21464    4.79979   -1.18901    4.81539   -1.16338    4.83098   -1.13775
   4.74787   -1.28618    4.75805   -1.26897    4.77332   -1.24314    4.78859   -1.21732    4.80387   -1.19150    4.81914   -1.16568    4.83441   -1.13986
   4.75317   -1.28932    4.76313   -1.27197    4.77808   -1.24596    4.79303   -1.21995    4.80797   -1.19394    4.82292   -1.16793    4.83786   -1.14191
   4.75851   -1.29238    4.76825   -1.27492    4.78287   -1.24872    4.79749   -1.22252    4.81211   -1.19633    4.82672   -1.17013    4.84134   -1.14393
   4.76389   -1.29539    4.77341   -1.27780    4.78770   -1.25142    4.80198   -1.22504    4.81627   -1.19866    4.83056   -1.17228    4.84485   -1.14590
   4.76930   -1.29832    4.77860   -1.28061    4.79256   -1.25406    4.80651   -1.22750    4.82047   -1.20094    4.83442   -1.17439    4.84838   -1.14783
   4.77475   -1.30118    4.78383   -1.28336    4.79745   -1.25663    4.81107   -1.22990    4.82469   -1.20317    4.83831   -1.17644    4.85193   -1.14971
   4.78024   -1.30398    4.78909   -1.28605    4.80237   -1.25915    4.81566   -1.23225    4.82894   -1.20535    4.84222   -1.17845    4.85550   -1.15155
   4.78576   -1.30671    4.79439   -1.28866    4.80733   -1.26160    4.82027   -1.23454    4.83322   -1.20747    4.84616   -1.18041    4.85910   -1.15334
   4.79131   -1.30936    4.79971   -1.29121    4.81232   -1.26399    4.82492   -1.23677    4.83752   -1.20954    4.85012   -1.18232    4.86273   -1.15509
   4.79690   -1.31195    4.80507   -1.29370    4.81733   -1.26632    4.82959   -1.23894    4.84185   -1.21156    4.85411   -1.18417    4.86637   -1.15679
   4.80252   -1.31447    4.81046   -1.29611    4.82238   -1.26858    4.83429   -1.24105    4.84620   -1.21352    4.85812   -1.18598    4.87003   -1.15845
   4.80817   -1.31691    4.81588   -1.29846    4.82745   -1.27078    4.83902   -1.24310    4.85058   -1.21542    4.86215   -1.18774    4.87372   -1.16006
   4.81385   -1.31929    4.82133   -1.30074    4.83255   -1.27292    4.84377   -1.24509    4.85499   -1.21727    4.86620   -1.18945    4.87742   -1.16162
   4.81956   -1.32159    4.82681   -1.30295    4.83767   -1.27499    4.84854   -1.24703    4.85941   -1.21907    4.87028   -1.19110    4.88115   -1.16314
   4.82530   -1.32382    4.83231   -1.30509    4.84283   -1.27700    4.85334   -1.24890    4.86386   -1.22080    4.87437   -1.19271    4.88489   -1.16461
   4.83107   -1.32598    4.83784   -1.30717    4.84800   -1.27894    4.85816   -1.25071    4.86833   -1.22249    4.87849   -1.19426    4.88865   -1.16603
   4.83686   -1.32807    4.84340   -1.30917    4.85320   -1.28082    4.86301   -1.25246    4.87282   -1.22411    4.88262   -1.19576    4.89243   -1.16741
   4.84268   -1.33008    4.84898   -1.31110    4.85843   -1.28263    4.86788   -1.25416    4.87733   -1.22568    4.88678   -1.19721    4.89623   -1.16874
   4.84852   -1.33202    4.85458   -1.31296    4.86367   -1.28437    4.87276   -1.25579    4.88186   -1.22720    4.89095   -1.19861    4.90004   -1.17002
   4.85439   -1.33389    4.86021   -1.31476    4.86894   -1.28605    4.87767   -1.25735    4.88640   -1.22865    4.89513   -1.19995    4.90387   -1.17125
   4.86028   -1.33568    4.86586   -1.31648    4.87423   -1.28767    4.88260   -1.25886    4.89097   -1.23005    4.89934   -1.20124    4.90771   -1.17243
   4.86619   -1.33740    4.87153   -1.31813    4.87954   -1.28922    4.88755   -1.26030    4.89555   -1.23139    4.90356   -1.20248    4.91157   -1.17357
   4.87213   -1.33905    4.87722   -1.31971    4.88487   -1.29070    4.89251   -1.26169    4.90015   -1.23268    4.90779   -1.20367    4.91544   -1.17466
   4.87808   -1.34062    4.88293   -1.32121    4.89021   -1.29211    4.89749   -1.26301    4.90477   -1.23390    4.91204   -1.20480    4.91932   -1.17569
   4.88405   -1.34211    4.88866   -1.32265    4.89557   -1.29346    4.90249   -1.26426    4.90940   -1.23507    4.91631   -1.20588    4.92322   -1.17668
   4.89005   -1.34353    4.89441   -1.32401    4.90095   -1.29473    4.90750   -1.26546    4.91404   -1.23618    4.92059   -1.20690    4.92713   -1.17762
   4.89606   -1.34487    4.90017   -1.32530    4.90635   -1.29594    4.91252   -1.26659    4.91870   -1.23723    4.92488   -1.20787    4.93105   -1.17851
   4.90208   -1.34614    4.90595   -1.32652    4.91176   -1.29709    4.91756   -1.26765    4.92337   -1.23822    4.92918   -1.20879    4.93498   -1.17936
   4.90812   -1.34733    4.91175   -1.32767    4.91718   -1.29816    4.92262   -1.26866    4.92805   -1.23916    4.93349   -1.20965    4.93893   -1.18015
   4.91418   -1.34845    4.91755   -1.32874    4.92262   -1.29917    4.92768   -1.26960    4.93275   -1.24003    4.93781   -1.21046    4.94288   -1.18089
   4.92025   -1.34949    4.92337   -1.32974    4.92807   -1.30011    4.93276   -1.27048    4.93745   -1.24085    4.94215   -1.21122    4.94684   -1.18158
   4.92633   -1.35046    4.92921   -1.33066    4.93353   -1.30098    4.93785   -1.27129    4.94217   -1.24160    4.94649   -1.21191    4.95081   -1.18223
   4.93242   -1.35134    4.93505   -1.33152    4.93900   -1.30178    4.94295   -1.27204    4.94689   -1.24230    4.95084   -1.21256    4.95479   -1.18282
   4.93852   -1.35215    4.94091   -1.33230    4.94448   -1.30251    4.94805   -1.27272    4.95163   -1.24294    4.95520   -1.21315    4.95877   -1.18336
   4.94464   -1.35289    4.94677   -1.33300    4.94997   -1.30317    4.95317   -1.27334    4.95637   -1.24351    4.95956   -1.21369    4.96276   -1.18386
   4.95076   -1.35355    4.95264   -1.33363    4.95547   -1.30377    4.95829   -1.27390    4.96111   -1.24403    4.96394   -1.21417    4.96676   -1.18430
   4.95689   -1.35413    4.95852   -1.33419    4.96097   -1.30429    4.96342   -1.27439    4.96587   -1.24449    4.96831   -1.21459    4.97076   -1.18469
   4.96303   -1.35463    4.96441   -1.33468    4.96648   -1.30475    4.96855   -1.27482    4.97062   -1.24489    4.97270   -1.21496    4.97477   -1.18503
   4.96917   -1.35505    4.97030   -1.33509    4.97200   -1.30513    4.97369   -1.27518    4.97539   -1.24523    4.97708   -1.21528    4.97878   -1.18533
   4.97532   -1.35540    4.97620   -1.33542    4.97752   -1.30545    4.97883   -1.27548    4.98015   -1.24551    4.98147   -1.21554    4.98279   -1.18557
   4.98147   -1.35568    4.98210   -1.33568    4.98304   -1.30570    4.98398   -1.27571    4.98492   -1.24573    4.98587   -1.21574    4.98681   -1.18576
   4.98762   -1.35587    4.98800   -1.33587    4.98857   -1.30588    4.98913   -1.27588    4.98970   -1.24589    4.99026   -1.21589    4.99083   -1.18590
   4.99378   -1.35599    4.99391   -1.33599    4.99409   -1.30599    4.99428   -1.27599    4.99447   -1.24599    4.99466   -1.21599    4.99485   -1.18599
   4.99994   -1.35603    4.99981   -1.33603    4.99962   -1.30603    4.99943   -1.27603    4.99925   -1.24603    4.99906   -1.21603    4.99887   -1.18603
   5.00609   -1.35599    5.00572   -1.33599    5.00515   -1.30600    5.00459   -1.27600    5.00402   -1.24601    5.00346   -1.21601    5.00289   -1.18602
   5.01225   -1.35587    5.01162   -1.33588    5.01068   -1.30590    5.00974   -1.27591    5.00880   -1.24593    5.00785   -1.21594    5.00691   -1.18596
   5.01841   -1.35568    5.01753   -1.33570    5.01621   -1.30573    5.01489   -1.27576    5.01357   -1.24579    5.01225   -1.21582    5.01093   -1.18584
   5.02456   -1.35541    5.02343   -1.33544    5.02173   -1.30549    5.02004   -1.27554    5.01834   -1.24559    5.01664   -1.21563    5.01495   -1.18568
   5.03070   -1.35506    5.02932   -1.33511    5.02725   -1.30518    5.02518   -1.27525    5.02311   -1.24533    5.02104   -1.21540    5.01896   -1.18547
   5.03685   -1.35464    5.03522   -1.33470    5.03277   -1.30480    5.03032   -1.27490    5.02787   -1.24500    5.02542   -1.21510    5.02298   -1.18520
   5.04298   -1.35414    5.04110   -1.33423    5.03828   -1.30436    5.03546   -1.27449    5.03263   -1.24462    5.02981   -1.21476    5.02699   -1.18489
   5.04911   -1.35356    5.04698   -1.33367    5.04378   -1.30384    5.04059   -1.27401    5.03739   -1.24418    5.03419   -1.21436    5.03099   -1.18453
   5.05524   -1.35290    5.05286   -1.33304    5.04928   -1.30326    5.04571   -1.27347    5.04214   -1.24369    5.03856   -1.21390    5.03499   -1.18411
   5.06135   -1.35217    5.05872   -1.33234    5.05477   -1.30260    5.05083   -1.27287    5.04688   -1.24313    5.04293   -1.21339    5.03899   -1.18365
   5.06746   -1.35136    5.06457   -1.33157    5.06025   -1.30188    5.05593   -1.27219    5.05161   -1.24251    5.04729   -1.21282    5.04297   -1.18313
   5.07355   -1.35047    5.07042   -1.33072    5.06573   -1.30109    5.06103   -1.27146    5.05634   -1.24183    5.05165   -1.21220    5.04695   -1.18257
   5.07963   -1.34951    5.07625   -1.32980    5.07119   -1.30023    5.06612   -1.27066    5.06106   -1.24109    5.05599   -1.21152    5.05093   -1.18195
   5.08570   -1.34847    5.08208   -1.32880    5.07664   -1.29930    5.07120   -1.26980    5.06577   -1.24029    5.06033   -1.21079    5.05489   -1.18129
   5.09176   -1.34736    5.08788   -1.32774    5.08208   -1.29830    5.07627   -1.26887    5.07046   -1.23944    5.06466   -1.21001    5.05885   -1.18057
   5.09780   -1.34617    5.09368   -1.32660    5.08750   -1.29724    5.08133   -1.26788    5.07515   -1.23852    5.06898   -1.20917    5.06280   -1.17981
   5.10382   -1.34490    5.09946   -1.32538    5.09291   -1.29610    5.08637   -1.26683    5.07983   -1.23755    5.07328   -1.20827    5.06674   -1.17899
   5.10983   -1.34356    5.10522   -1.32410    5.09831   -1.29490    5.09140   -1.26571    5.08449   -1.23652    5.07758   -1.20732    5.07067   -1.17813
   5.11582   -1.34214    5.11097   -1.32274    5.10369   -1.29363    5.09642   -1.26453    5.08914   -1.23543    5.08186   -1.20632    5.07458   -1.17722
   5.12180   -1.34065    5.11670   -1.32131    5.10906   -1.29230    5.10142   -1.26329    5.09377   -1.23428    5.08613   -1.20527    5.07849   -1.17626
   5.12775   -1.33908    5.12241   -1.31980    5.11441   -1.29089    5.10640   -1.26198    5.09839   -1.23307    5.09039   -1.20416    5.08238   -1.17525
   5.13369   -1.33744    5.12811   -1.31823    5.11974   -1.28942    5.11137   -1.26061    5.10300   -1.23180    5.09463   -1.20300    5.08626   -1.17419
   5.13960   -1.33572    5.13378   -1.31658    5.12505   -1.28788    5.11632   -1.25918    5.10759   -1.23048    5.09885   -1.20178    5.09012   -1.17308
   5.14549   -1.33393    5.13943   -1.31487    5.13034   -1.28628    5.12125   -1.25769    5.11216   -1.22910    5.10307   -1.20051    5.09397   -1.17192
   5.15136   -1.33206    5.14506   -1.31308    5.13561   -1.28461    5.12616   -1.25614    5.11671   -1.22766    5.10726   -1.19919    5.09781   -1.17072
   5.15720   -1.33012    5.15067   -1.31122    5.14086   -1.28287    5.13105   -1.25452    5.12125   -1.22617    5.11144   -1.19782    5.10163   -1.16946
   5.16302   -1.32811    5.15625   -1.30929    5.14609   -1.28107    5.13592   -1.25284    5.12576   -1.22461    5.11560   -1.19639    5.10544   -1.16816
   5.16882   -1.32603    5.16181   -1.30730    5.15129   -1.27920    5.14077   -1.25110    5.13026   -1.22301    5.11974   -1.19491    5.10923   -1.16681
   5.17458   -1.32387    5.16734   -1.30523    5.15647   -1.27727    5.14560   -1.24930    5.13473   -1.22134    5.12386   -1.19338    5.11300   -1.16542
   5.18032   -1.32164    5.17284   -1.30309    5.16162   -1.27527    5.15041   -1.24744    5.13919   -1.21962    5.12797   -1.19180    5.11675   -1.16397
   5.18603   -1.31934    5.17832   -1.30088    5.16675   -1.27320    5.15519   -1.24552    5.14362   -1.21784    5.13205   -1.19016    5.12048   -1.16248
   5.19172   -1.31696    5.18377   -1.29861    5.17186   -1.27108    5.15994   -1.24354    5.14803   -1.21601    5.13611   -1.18848    5.12420   -1.16095
   5.19737   -1.31452    5.18919   -1.29627    5.17693   -1.26888    5.16467   -1.24150    5.15242   -1.21412    5.14016   -1.18674    5.12790   -1.15936
